ticker,period,local_path,file_hash,page_number,text_snippet,detected_unit,notes
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,35,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,36,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,37,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,38,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,39,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,40,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,41,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,42,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,43,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,1,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,2,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,3,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,4,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,5,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,6,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,7,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
