ticker,rank,exchange,sector_raw,legacy_last_close,public_last_close,legacy_last_price_date,public_last_price_date,legacy_avg_volume_20d,public_avg_volume_20d,legacy_avg_volume_60d,public_avg_volume_60d,price_abs_diff,price_relative_diff_pct,volume_60d_relative_diff_pct,price_crosscheck_status,volume_crosscheck_status,manual_review_required,reason
VSE,115,UPCoM,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",,7600.0,,2023-06-30,,66265.0,,29938.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VPL,116,HOSE,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Dịch vụ giải trí,,,,,,,,,,,,PUBLIC_FILE_MISSING,PUBLIC_FILE_MISSING,True,Public raw CSV missing for ticker.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TJC,117,HNX,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Dịch vụ vận tải,,16200.0,,2023-06-30,,595.0,,531.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TFC,118,HNX,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,,6600.0,,2023-06-30,,590.0,,1498.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TSB,119,HNX,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Điện tử & Thiết bị điện / Hàng điện & điện tử,,34513.0,,2023-06-30,,5835.0,,5066.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VPD,120,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",,24700.0,,2023-06-30,,8685.0,,15840.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
USD,121,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Chất thải & Môi trường,,16000.0,,2023-06-30,,230.0,,193.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VTB,122,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Điện tử & Thiết bị điện / Hàng điện & điện tử,,11850.0,,2023-06-30,,1170.0,,905.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TID,123,UPCoM,Tài chính / Bất động sản / Bất động sản / Bất động sản,,26300.0,,2023-06-30,,71100.0,,43905.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TMP,124,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",,54500.0,,2023-06-30,,1650.0,,1570.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VMC,125,HNX,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,,10300.0,,2023-06-30,,22635.0,,17183.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VNA,126,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Vận tải Thủy,,25900.0,,2023-06-30,,9535.0,,9553.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VPR,127,UPCoM,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",,24000.0,,2023-06-30,,45.0,,16.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
